"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.019911540E-1	-1.058826223E-2	2.538193762E-2	5.685329437E-2	6.315576882E-2
7.119911540E-1	-2.258511633E-2	2.302056551E-2	7.361316681E-2	8.036748250E-2
7.219911540E-1	-1.958213374E-2	2.739760280E-2	5.446910858E-2	6.403883502E-2
7.319913540E-1	-1.141271740E-2	1.446041465E-2	6.406593323E-2	6.666181449E-2
7.419913540E-1	6.341561675E-3	-5.545020103E-3	4.971981049E-2	5.042838692E-2
7.519913540E-1	-2.963244915E-4	-8.473485708E-3	6.649017334E-2	6.702858285E-2
7.619913540E-1	-1.465457305E-2	5.873739719E-3	5.930900574E-2	6.137438791E-2
7.719913540E-1	4.523616284E-3	5.953013897E-3	4.733562469E-2	4.792246701E-2
7.819911540E-1	-1.940137520E-2	1.802107692E-2	5.930614471E-2	6.494914452E-2
7.919911540E-1	-2.153859660E-2	-1.418262720E-3	6.649398804E-2	6.990974938E-2
8.019911540E-1	3.114387393E-3	-2.084130049E-2	5.453109741E-2	5.846109646E-2
8.119911540E-1	-3.475194797E-2	-8.837848902E-3	6.171417236E-2	7.137537763E-2
8.219911540E-1	4.747502506E-3	1.051895320E-2	2.580356598E-2	2.826678570E-2
8.319911540E-1	3.061443567E-3	8.919835091E-4	7.608604431E-2	7.615283455E-2
8.419911540E-1	1.805132441E-2	1.999515295E-2	6.172466278E-2	6.734679243E-2
8.519911540E-1	6.171334535E-3	9.867891669E-3	5.934047699E-2	6.047109115E-2
8.619911540E-1	1.105749235E-2	3.195703030E-4	6.891727448E-2	6.979943397E-2
8.719913540E-1	-1.526245475E-2	-1.873718202E-2	4.976177216E-2	5.531960306E-2
8.819913540E-1	-1.052016020E-2	1.007999480E-2	6.651973724E-2	6.809666298E-2
8.919913540E-1	-1.049504429E-2	1.729789376E-2	5.933761597E-2	6.269223040E-2
9.019913540E-1	-1.519767940E-2	2.845570445E-3	5.933856964E-2	6.131991991E-2
9.119913540E-1	-5.173023790E-3	7.359907031E-3	4.498100281E-2	4.587176714E-2
9.219911540E-1	1.201716065E-2	-1.212103665E-2	6.892967224E-2	7.101148777E-2
9.319911540E-1	-1.908654720E-2	-7.298439741E-3	4.977607727E-2	5.380726136E-2
9.419911540E-1	-1.141650975E-2	-1.196505129E-2	8.090019226E-2	8.257324176E-2
9.519911540E-1	2.490934730E-2	-9.266361594E-3	5.216693878E-2	5.854682350E-2
9.619911540E-1	-3.840349615E-3	5.133315921E-3	5.695533752E-2	5.731500406E-2
9.719911540E-1	-1.593025401E-2	-1.955702901E-3	6.413555145E-2	6.611328707E-2
9.819913540E-1	-1.117266342E-2	1.729308069E-2	4.498004913E-2	4.946800853E-2
9.919913540E-1	-2.030210570E-2	-4.308730364E-3	5.455970764E-2	5.837381563E-2
1.001991354E0	1.672126353E-3	5.380153656E-3	7.131862640E-2	7.154081724E-2
1.011991354E0	2.217192203E-3	-1.379914582E-2	6.892871857E-2	7.033136292E-2
1.021991354E0	-2.491265535E-3	1.495043933E-2	6.414031982E-2	6.590677255E-2
1.031991154E0	-9.717106819E-3	2.696500719E-2	6.892776489E-2	7.464965205E-2
1.041991154E0	1.951345429E-2	1.450268924E-2	5.696773529E-2	6.193888728E-2
1.051991154E0	2.752717584E-3	-2.809911966E-3	8.331394196E-2	8.340675023E-2
1.061991154E0	7.564362139E-3	-9.913742542E-3	8.570671082E-2	8.660913430E-2
1.071991154E0	7.529880852E-3	4.545524716E-3	4.021549225E-2	4.116608698E-2
1.081991154E0	-6.806135178E-3	6.912171841E-3	2.106189728E-2	2.318846939E-2
1.091991154E0	-9.401526302E-3	1.609796286E-2	6.655693054E-2	6.911843537E-2
1.101991154E0	9.769927710E-3	-8.275359869E-3	9.103775024E-3	1.571024469E-2
1.111991154E0	-2.377929538E-2	6.229147315E-3	9.050369263E-2	9.378259724E-2
1.121991354E0	2.511747181E-3	1.106041670E-2	7.374477386E-2	7.461188487E-2
1.131991354E0	5.046542734E-3	-1.575559378E-2	6.178188324E-2	6.395863840E-2
1.141991354E0	1.690962538E-2	8.219256997E-3	2.826213837E-2	3.394466204E-2
1.151991354E0	9.749285877E-3	3.509283066E-3	8.572196960E-2	8.634593051E-2
1.161991354E0	4.924550653E-3	5.884930491E-3	9.769344330E-2	9.799434917E-2
1.171991154E0	1.451670378E-2	-5.989551544E-3	4.501914978E-2	4.767948472E-2
1.181991154E0	1.209559292E-2	8.516103029E-3	3.304481506E-2	3.620479501E-2
1.191991154E0	-7.827397436E-3	-1.284390688E-3	5.459308624E-2	5.516632012E-2
1.201991154E0	-8.270408958E-3	1.058991253E-2	8.332347870E-2	8.439992899E-2
1.211991154E0	-1.084011421E-2	-4.086643457E-3	6.656837463E-2	6.756890729E-2
1.221991154E0	1.310949400E-2	-6.386578083E-3	4.262447357E-2	4.504989412E-2
1.231991354E0	5.832899362E-3	5.669325590E-3	5.219936371E-2	5.282932461E-2
1.241991354E0	1.723942533E-2	-8.767694235E-3	7.135105133E-2	7.392592762E-2
1.251991354E0	1.013292745E-2	3.221407533E-3	5.459213257E-2	5.561793437E-2
1.261991354E0	-6.602283567E-3	1.522751153E-2	4.980373383E-2	5.249646806E-2
1.271991354E0	7.777892053E-3	3.352910280E-3	6.656074524E-2	6.709746954E-2
1.281991154E0	-1.781221479E-3	-3.732383251E-3	7.613563538E-2	7.624787478E-2
1.291991154E0	2.974357456E-3	-8.494317532E-3	8.571243286E-2	8.618364914E-2
1.301991154E0	6.108991802E-4	3.513500094E-3	5.219268799E-2	5.231438196E-2
1.311991154E0	7.805541158E-3	-1.247212291E-3	5.458641052E-2	5.515576330E-2
1.321991154E0	-7.049880922E-3	1.077756286E-2	7.373714447E-2	7.485334433E-2
1.331991154E0	-4.709050059E-3	-3.615319729E-3	6.176567078E-2	6.205033260E-2
1.341991154E0	-2.404976636E-3	1.318611205E-2	4.979419708E-2	5.156665130E-2
1.351991154E0	-7.169529796E-3	1.069474220E-2	3.782463074E-2	3.995600529E-2
1.361991154E0	1.673504338E-2	8.325770497E-3	4.021835327E-2	4.434970204E-2
1.371991354E0	1.172553003E-2	5.971476436E-3	1.120424271E-1	1.128124641E-1
1.381991354E0	-6.536766887E-4	1.996964216E-2	8.571052551E-2	8.800856825E-2
1.391991354E0	-1.757171750E-2	-1.635785401E-2	5.938148499E-2	6.405080330E-2
1.401991354E0	-1.031184196E-2	4.199743271E-4	4.022789001E-2	4.153063445E-2
1.411991354E0	-9.826973081E-3	1.202821732E-4	7.375431061E-2	7.440619733E-2
1.421991154E0	-1.709668711E-2	-1.165167987E-2	5.938434601E-2	6.288528369E-2
1.431991154E0	5.054891109E-3	7.773652673E-3	5.220031738E-2	5.301749461E-2
1.441991154E0	-4.622824490E-3	1.253260672E-2	7.853698730E-2	7.966489260E-2
1.451991154E0	1.744427159E-2	7.462635636E-3	6.178474426E-2	6.463240801E-2
1.461991154E0	1.018033922E-2	-7.518962026E-3	7.376670837E-2	7.484451457E-2
1.471991154E0	1.923827641E-2	-2.756953239E-3	4.742813110E-2	5.125563082E-2
1.481991354E0	-3.832355142E-4	-2.896083891E-2	8.333683014E-2	8.822643775E-2
1.491991354E0	-5.141884089E-3	1.894001663E-2	5.700016022E-2	6.028417260E-2
1.501991354E0	-3.176987171E-3	1.202125847E-2	4.981136322E-2	5.133980725E-2
1.511991354E0	-1.038410515E-2	-4.705101252E-3	6.178092957E-2	6.282396736E-2
1.521991354E0	-1.276073605E-2	1.165568829E-4	6.896305084E-2	7.013381746E-2
1.531991154E0	-1.753193513E-2	1.451492310E-2	6.656837463E-2	7.035197398E-2
1.541991154E0	-7.997978479E-3	2.567768097E-3	4.980850220E-2	5.051185983E-2
1.551991354E0	-1.043244079E-2	1.538842916E-4	4.980850220E-2	5.088955091E-2
1.561991354E0	-9.952168912E-3	2.467259765E-3	7.854270935E-2	7.920915496E-2
1.571991354E0	-7.057204843E-3	-1.196894050E-2	7.854652405E-2	7.976600853E-2
1.581991354E0	5.339864641E-3	1.208452880E-2	7.136344910E-2	7.257611079E-2
1.591991354E0	7.705815136E-3	-1.415571570E-2	7.375621796E-2	7.549664603E-2
1.601991354E0	-1.149244979E-2	-1.167429984E-2	4.981231689E-2	5.243693921E-2
1.611991354E0	-4.283923656E-3	-1.882141829E-2	8.333110809E-2	8.553754359E-2
1.621991554E0	-1.543074846E-3	1.538670063E-2	9.768581390E-2	9.890222381E-2
1.631991554E0	7.934279740E-3	8.219361305E-3	6.656074524E-2	6.753401737E-2
1.641991554E0	7.745288312E-4	1.783081889E-2	4.022312164E-2	4.400497145E-2
1.651991554E0	2.015830018E-2	5.449995399E-3	7.135677338E-2	7.434950318E-2
1.661991554E0	2.017486654E-2	1.020319760E-2	4.741477966E-2	5.252896165E-2
1.671991554E0	2.008674853E-2	-4.075378180E-3	6.417274475E-2	6.736636655E-2
1.681991554E0	2.593819052E-3	-9.024426341E-3	2.346992493E-2	2.527855898E-2
1.691991554E0	2.079233527E-3	1.254215837E-2	8.332252502E-2	8.428684432E-2
1.701991554E0	1.089569926E-2	4.187077284E-4	1.048688889E-1	1.054342232E-1
1.711991554E0	-1.635763794E-3	2.742573619E-3	5.937862396E-2	5.946442985E-2
1.721991554E0	-2.117501199E-2	-6.990104914E-3	-2.111654282E-1	2.123395412E-1
1.731991620E0	-1.868708059E-2	9.796589613E-3	5.908908844E-1	5.912674669E-1
1.741991620E0	1.322314143E-2	2.430538833E-2	4.501533508E-2	5.283922562E-2
1.751991620E0	5.818512291E-3	1.228614151E-2	-1.584920883E-1	1.590740281E-1
1.761991620E0	1.077700406E-2	2.838213742E-2	-8.425903320E-2	8.956156663E-2
1.771991820E0	1.035226882E-2	1.809744537E-2	1.599597931E-1	1.613128092E-1
1.781991620E0	-1.983989030E-3	-1.603190601E-2	1.240558624E-1	1.251032183E-1
1.791991620E0	7.325485349E-3	-4.599019885E-3	1.153659821E-2	1.441897422E-2
1.801991620E0	-4.566606134E-3	4.952475429E-3	3.787326813E-2	3.846771819E-2
1.811991620E0	-9.383894503E-3	-2.266407013E-3	1.073064804E-1	1.077398478E-1
